Listener,Sample,System,Metric,Score
listener_01,bwv245.22,GT,CN,3.0
listener_01,bwv245.22,GT,HC,3.0
listener_01,bwv387,Deepbach,CN,3.0
listener_01,bwv387,Deepbach,HC,3.0
listener_01,bwv93.7,Coconet,CN,3.5
listener_01,bwv93.7,Coconet,HC,3.5
listener_01,bwv48.7,CPFG,CN,2.5
listener_01,bwv48.7,CPFG,HC,3.0
listener_01,bwv158.4,Deepbach,CN,2.5
listener_01,bwv158.4,Deepbach,HC,2.5
listener_01,bwv139.6,GT,CN,3.5
listener_01,bwv139.6,GT,HC,4.0
listener_01,bwv245.22,CPFG,CN,3.0
listener_01,bwv245.22,CPFG,HC,3.5
listener_01,bwv321,GT,CN,3.5
listener_01,bwv321,GT,HC,3.5
listener_01,bwv185.6,Deepbach,CN,2.5
listener_01,bwv185.6,Deepbach,HC,2.0
listener_01,bwv139.6,CPFG,CN,4.0
listener_01,bwv139.6,CPFG,HC,3.0
listener_02,bwv245.22,Coconet,CN,3.0
listener_02,bwv245.22,Coconet,HC,3.5
listener_02,bwv248.46-5,Coconet,CN,2.5
listener_02,bwv248.46-5,Coconet,HC,3.0
listener_02,bwv5.7,Coconet,CN,2.0
listener_02,bwv5.7,Coconet,HC,3.5
listener_02,bwv245.22,Deepbach,CN,2.5
listener_02,bwv245.22,Deepbach,HC,2.0
listener_02,bwv48.7,Deepbach,CN,2.5
listener_02,bwv48.7,Deepbach,HC,2.5
listener_02,bwv185.6,CPFG,CN,3.0
listener_02,bwv185.6,CPFG,HC,3.0
listener_02,bwv248.46-5,CPFG,CN,3.0
listener_02,bwv248.46-5,CPFG,HC,3.5
listener_02,bwv185.6,GT,CN,3.0
listener_02,bwv185.6,GT,HC,4.0
listener_02,bwv93.7,GT,CN,4.0
listener_02,bwv93.7,GT,HC,4.0
listener_02,bwv139.6,GT,CN,3.5
listener_02,bwv139.6,GT,HC,4.0
listener_03,bwv158.4,Deepbach,CN,2.5
listener_03,bwv158.4,Deepbach,HC,2.5
listener_03,bwv93.7,CPFG,CN,3.0
listener_03,bwv93.7,CPFG,HC,2.0
listener_03,bwv93.7,GT,CN,4.0
listener_03,bwv93.7,GT,HC,4.0
listener_03,bwv248.46-5,GT,CN,3.5
listener_03,bwv248.46-5,GT,HC,3.5
listener_03,bwv158.4,Coconet,CN,4.0
listener_03,bwv158.4,Coconet,HC,3.5
listener_03,bwv387,GT,CN,3.5
listener_03,bwv387,GT,HC,3.5
listener_03,bwv387,Coconet,CN,3.5
listener_03,bwv387,Coconet,HC,3.5
listener_03,bwv387,GT,CN,3.5
listener_03,bwv387,GT,HC,3.5
listener_03,bwv321,GT,CN,3.5
listener_03,bwv321,GT,HC,3.5
listener_03,bwv185.6,Coconet,CN,2.5
listener_03,bwv185.6,Coconet,HC,2.5
listener_04,bwv248.46-5,Deepbach,CN,3.5
listener_04,bwv248.46-5,Deepbach,HC,2.5
listener_04,bwv5.7,Coconet,CN,2.5
listener_04,bwv5.7,Coconet,HC,3.0
listener_04,bwv245.22,Deepbach,CN,3.0
listener_04,bwv245.22,Deepbach,HC,2.0
listener_04,bwv387,Deepbach,CN,3.0
listener_04,bwv387,Deepbach,HC,3.0
listener_04,bwv248.46-5,Deepbach,CN,3.0
listener_04,bwv248.46-5,Deepbach,HC,2.5
listener_04,bwv248.46-5,CPFG,CN,4.0
listener_04,bwv248.46-5,CPFG,HC,3.5
listener_04,bwv93.7,Coconet,CN,4.0
listener_04,bwv93.7,Coconet,HC,3.0
listener_04,bwv48.7,CPFG,CN,2.0
listener_04,bwv48.7,CPFG,HC,3.0
listener_04,bwv48.7,GT,CN,3.5
listener_04,bwv48.7,GT,HC,3.5
listener_04,bwv321,Coconet,CN,3.0
listener_04,bwv321,Coconet,HC,3.0
listener_05,bwv48.7,Deepbach,CN,2.0
listener_05,bwv48.7,Deepbach,HC,2.5
listener_05,bwv158.4,CPFG,CN,3.5
listener_05,bwv158.4,CPFG,HC,2.5
listener_05,bwv387,Coconet,CN,3.5
listener_05,bwv387,Coconet,HC,3.0
listener_05,bwv248.46-5,Coconet,CN,2.5
listener_05,bwv248.46-5,Coconet,HC,3.0
listener_05,bwv245.22,CPFG,CN,3.0
listener_05,bwv245.22,CPFG,HC,3.0
